Name,Mayo Clinic College of Medicine and Science,University of California San Francisco,Vanderbilt University Medical Center,McGaw Medical Center of Northwestern University,Pennsylvania Hospital of Penn Medicine,University of Texas Southwestern Medical Center,New York-Presbyterian/Columbia University Irving Medical Center,Massachusetts General Hospital,Duke University Hospital,Baylor College of Medicine
Edwina Lozano,1,3,6,7,8,4,5,9,2,10
Anton Flores,3,6,10,2,5,7,8,9,4,1
Lenora Mills,4,10,6,7,1,5,3,8,9,2
Gilberto Drake,10,4,6,1,8,7,2,9,3,5
Clayton Mcknight,6,2,8,10,1,4,3,7,9,5
Marva Buckley,10,8,4,9,6,5,2,7,3,1
Gaston Sharp,10,3,2,6,4,1,8,9,7,5
Bernard Tanner,1,4,6,10,7,5,8,2,3,9
Cole Cobb,4,6,5,9,7,8,2,1,3,10
Ricardo Branch,8,4,9,10,2,7,1,5,6,3
Vito Valenzuela,7,9,2,3,4,1,8,10,5,6
Romeo Williamson,10,5,7,9,2,6,3,1,4,8
Lucius Edwards,4,3,10,7,5,8,2,9,6,1
Genaro Mcdowell,3,1,9,4,10,2,7,6,5,8
Michael Underwood,4,7,3,2,8,9,6,5,10,1
Sarah Kaufman,7,6,8,4,10,3,2,5,1,9
Jenna Greene,2,9,3,10,1,6,5,4,8,7
Raymond Meyers,5,10,6,7,4,3,8,2,1,9
Herschel Maxwell,1,3,8,7,5,2,9,6,4,10
Wilburn Nelson,6,7,1,8,9,2,3,5,10,4
Armando Stanley,9,4,6,5,10,7,1,3,8,2
Terrance Christian,10,7,9,1,6,2,3,4,5,8
Ezra Curtis,5,9,8,2,3,6,10,1,4,7
Darin Lee,2,10,4,5,9,3,7,8,6,1
Berta Young,4,6,8,3,5,9,2,1,7,10
Kristina Acosta,8,2,4,7,9,6,10,5,1,3
Elmo Yoder,10,8,1,7,2,9,3,4,5,6
Clarence Meza,7,1,8,3,2,9,4,10,6,5
Jasper Townsend,2,7,1,10,5,3,8,6,9,4
Elliott Hudson,8,2,1,7,10,3,5,6,4,9
Rudolf Johnston,7,10,2,4,3,1,6,9,8,5
Leonel Nunez,6,5,8,1,2,3,4,10,9,7
Bruno Mendoza,4,7,1,8,9,6,10,5,2,3
Cristobal Valentine,1,6,7,3,4,9,8,5,10,2
David Holt,10,6,9,8,5,4,3,7,1,2
Delia Francis,8,7,6,10,9,2,4,3,1,5
Shawn Campbell,7,9,4,6,3,5,8,10,1,2
Desmond Caldwell,5,8,6,9,2,10,4,1,3,7
Evangelina Nolan,3,9,8,2,7,1,5,4,10,6
Ashley York,10,3,2,8,7,6,4,5,9,1
Yolanda House,2,5,6,9,7,4,8,1,10,3
Annette Solomon,9,6,8,2,1,7,3,4,5,10
Araceli Fritz,8,3,7,10,5,1,9,2,4,6
